啊	a
不	b
才	c
的	d
而	e
发	f
个	g
和	h
吃	i
就	j
看	k
了	l
没	m
你	n
哦	o
拍	p
去	q
人	r
所	s
他	t
是	u
中	v
我	w
小	x
有	y
在	z
阿	aa
昂	ah
爱	ai
安	an
奥	ao
把	ba
宾	bb
报	bc
白	bd
本	bf
崩	bg
帮	bh
比	bi
办	bj
并	bk
变	bm
表	bn
波	bo
别	bp
部	bu
被	bw
擦	ca
草	cc
采	cd
策	ce
岑	cf
曾	cg
藏	ch
此	ci
参	cj
错	co
窜	cr
从	cs
促	cu
粹	cv
存	cy
凑	cz
大	da
到	dc
代	dd
得	de
扽	df
等	dg
当	dh
的	di
但	dj
定	dk
点	dm
调	dn
多	do
跌	dp
丢	dq
断	dr
动	ds
都	du
对	dv
得	dw
顿	dy
都	dz
恶	ee
欸	ei
恩	en
二	er
法	fa
分	ff
风	fg
方	fh
反	fj
佛	fo
复	fu
非	fw
尬	ga
高	gc
该	gd
各	ge
根	gf
更	gg
刚	gh
感	gj
怪	gk
光	gl
国	go
关	gr
公	gs
古	gu
规	gv
给	gw
挂	gx
滚	gy
构	gz
哈	ha
好	hc
还	hd
合	he
很	hf
横	hg
行	hh
汉	hj
怀	hk
黄	hl
或	ho
环	hr
红	hs
乎	hu
会	hv
黑	hw
话	hx
婚	hy
后	hz
查	ia
朝	ic
柴	id
车	ie
陈	if
成	ig
常	ih
持	ii
产	ij
揣	ik
创	il
绰	io
传	ir
重	is
出	iu
吹	iv
春	iy
抽	iz
进	jb
机	ji
经	jk
将	jl
间	jm
教	jn
解	jp
究	jq
卷	jr
决	jt
据	ju
家	jx
军	jy
卡	ka
考	kc
开	kd
可	ke
肯	kf
坑	kg
抗	kh
刊	kj
快	kk
况	kl
括	ko
款	kr
空	ks
苦	ku
亏	kv
跨	kx
困	ky
口	kz
拉	la
林	lb
老	lc
来	ld
乐	le
冷	lg
浪	lh
里	li
领	lk
两	ll
联	lm
了	ln
罗	lo
列	lp
流	lq
乱	lr
龙	ls
略	lt
路	lu
律	lv
类	lw
俩	lx
论	ly
楼	lz
马	ma
民	mb
毛	mc
买	md
么	me
们	mf
梦	mg
忙	mh
米	mi
满	mj
明	mk
面	mm
描	mn
模	mo
灭	mp
谬	mq
目	mu
美	mw
某	mz
那	na
您	nb
脑	nc
乃	nd
呢	ne
嫩	nf
能	ng
囊	nh
尼	ni
难	nj
宁	nk
娘	nl
年	nm
鸟	nn
诺	no
涅	np
牛	nq
暖	nr
农	ns
虐	nt
努	nu
女	nv
内	nw
耨	nz
噢	oo
欧	ou
怕	pa
品	pb
跑	pc
派	pd
喷	pf
朋	pg
旁	ph
批	pi
判	pj
平	pk
片	pm
票	pn
破	po
瞥	pp
普	pu
配	pw
剖	pz
亲	qb
起	qi
情	qk
强	ql
前	qm
巧	qn
且	qp
求	qq
全	qr
穷	qs
却	qt
区	qu
恰	qx
群	qy
扰	rc
热	re
任	rf
仍	rg
让	rh
日	ri
然	rj
若	ro
软	rr
容	rs
如	ru
瑞	rv
润	ry
肉	rz
萨	sa
扫	sc
赛	sd
色	se
森	sf
僧	sg
丧	sh
斯	si
三	sj
索	so
算	sr
送	ss
苏	su
随	sv
损	sy
艘	sz
她	ta
讨	tc
太	td
特	te
腾	tg
唐	th
体	ti
谈	tj
听	tk
天	tm
条	tn
托	to
铁	tp
团	tr
同	ts
图	tu
推	tv
吞	ty
头	tz
杀	ua
少	uc
晒	ud
社	ue
什	uf
生	ug
上	uh
时	ui
山	uj
率	uk
双	ul
说	uo
栓	ur
数	uu
水	uv
谁	uw
刷	ux
顺	uy
手	uz
炸	va
着	vc
这	ve
真	vf
正	vg
长	vh
之	vi
战	vj
拽	vk
装	vl
着	vo
转	vr
种	vs
主	vu
追	vv
抓	vx
准	vy
周	vz
瓦	wa
外	wd
问	wf
翁	wg
王	wh
完	wj
握	wo
无	wu
为	ww
心	xb
西	xi
行	xk
想	xl
现	xm
笑	xn
些	xp
修	xq
选	xr
雄	xs
学	xt
许	xu
下	xx
亚	ya
因	yb
要	yc
也	ye
样	yh
一	yi
眼	yj
应	yk
哟	yo
原	yr
用	ys
月	yt
于	yu
运	yy
又	yz
杂	za
造	zc
再	zd
则	ze
怎	zf
增	zg
藏	zh
子	zi
赞	zj
作	zo
钻	zr
总	zs
组	zu
最	zv
贼	zw
走	zz
吖	aap
腌	aax
锕	aay
盎	ahh
卬	ahq
肮	ahx
艾	aia
挨	aic
霭	aig
癌	aii
叆	ail
暧	aim
瑷	ain
嫒	aio
唉	aip
隘	aiq
碍	aiw
皑	aix
锿	aiy
埃	aiz
𩽾	anb
按	anc
谙	and
俺	ane
氨	ang
庵	ani
暗	anm
鞍	ano
唵	anp
鹌	anq
桉	ans
案	anu
黯	anx
铵	any
岸	anz
薁	aoa
拗	aoc
傲	aoe
袄	aof
凹	aoh
廒	aoi
澳	aok
熬	aol
鏖	aom
璈	aon
媪	aoo
嗷	aop
隩	aoq
懊	aow
翱	aox
坳	aoz
芭	baa
鲅	bab
拔	bac
粑	bad
霸	bag
耙	bah
疤	bai
羓	baj
灞	bak
罢	bal
靶	bao
吧	bap
笆	bar
朳	bas
八	bat
跋	bav
巴	bax
钯	bay
坝	baz
摈	bbc
殡	bbd
傧	bbe
缤	bbf
髌	bbh
滨	bbk
鬓	bbl
玢	bbn
斌	bbo
彬	bbs
邠	bbt
膑	bbx
镔	bby
豳	bbz
薄	bca
爆	bcb
抱	bcc
保	bce
褓	bcf
豹	bcg
包	bch
瀑	bck
暴	bcm
剥	bco
孢	bcq
枹	bcs
