啊	a
不	b
才	c
的	d
而	e
发	f
个	g
和	h
吃	i
就	j
看	k
了	l
没	m
你	n
哦	o
拍	p
去	q
人	r
所	s
他	t
是	u
中	v
我	w
小	x
有	y
在	z
阿	aa
昂	ah
爱	ai
安	an
奥	ao
吧	ba
表	bc
本	bf
崩	bg
帮	bh
比	bi
办	bj
保	bk
白	bl
边	bm
宾	bn
博	bo
部	bu
别	bx
并	by
被	bz
擦	ca
凑	cb
策	ce
岑	cf
曾	cg
藏	ch
次	ci
参	cj
草	ck
菜	cl
错	co
村	cp
窜	cr
从	cs
促	cu
脆	cv
大	da
都	db
掉	dc
得	de
扽	df
等	dg
当	dh
的	di
但	dj
到	dk
带	dl
点	dm
多	do
顿	dp
丢	dq
断	dr
动	ds
都	du
对	dv
嗲	dw
定	dy
得	dz
恶	ee
欸	ei
恩	en
儿	er
法	fa
否	fb
分	ff
风	fg
方	fh
反	fj
佛	fo
复	fu
尬	ga
够	gb
光	gd
各	ge
跟	gf
更	gg
刚	gh
感	gj
高	gk
该	gl
过	go
滚	gp
关	gr
工	gs
故	gu
规	gv
挂	gw
怪	gy
给	gz
哈	ha
后	hb
黄	hd
合	he
很	hf
哼	hg
行	hh
汉	hj
好	hk
还	hl
活	ho
婚	hp
欢	hr
红	hs
护	hu
会	hv
话	hw
坏	hy
黑	hz
查	ia
抽	ib
创	id
车	ie
沉	if
成	ig
常	ih
持	ii
产	ij
超	ik
拆	il
戳	io
春	ip
传	ir
重	is
出	iu
吹	iv
揣	iy
叫	jc
将	jd
己	ji
见	jm
进	jn
军	jp
久	jq
卷	jr
觉	jt
据	ju
家	jw
结	jx
经	jy
卡	ka
口	kb
况	kd
可	ke
肯	kf
坑	kg
康	kh
刊	kj
考	kk
开	kl
扩	ko
困	kp
款	kr
空	ks
苦	ku
亏	kv
快	ky
剋	kz
啦	la
楼	lb
了	lc
两	ld
乐	le
冷	lg
浪	lh
里	li
老	lk
来	ll
联	lm
林	ln
罗	lo
论	lp
流	lq
乱	lr
龙	ls
略	lt
路	lu
律	lv
俩	lw
列	lx
领	ly
类	lz
吗	ma
某	mb
妙	mc
么	me
们	mf
梦	mg
忙	mh
米	mi
满	mj
毛	mk
买	ml
面	mm
民	mn
模	mo
谬	mq
目	mu
灭	mx
明	my
美	mz
那	na
耨	nb
鸟	nc
娘	nd
呢	ne
嫩	nf
能	ng
囊	nh
尼	ni
难	nj
脑	nk
奶	nl
年	nm
您	nn
诺	no
牛	nq
暖	nr
农	ns
虐	nt
努	nu
女	nv
捏	nx
宁	ny
内	nz
噢	oo
欧	ou
怕	pa
剖	pb
票	pc
盆	pf
朋	pg
胖	ph
皮	pi
判	pj
跑	pk
排	pl
片	pm
品	pn
破	po
普	pu
撇	px
平	py
配	pz
瞧	qc
强	qd
起	qi
前	qm
亲	qn
群	qp
求	qq
全	qr
穷	qs
确	qt
区	qu
恰	qw
切	qx
情	qy
肉	rb
热	re
认	rf
仍	rg
让	rh
日	ri
然	rj
扰	rk
若	ro
润	rp
软	rr
容	rs
如	ru
瑞	rv
萨	sa
搜	sb
色	se
森	sf
僧	sg
桑	sh
死	si
三	sj
扫	sk
赛	sl
索	so
孙	sp
算	sr
送	ss
诉	su
随	sv
她	ta
头	tb
条	tc
特	te
疼	tg
堂	th
体	ti
谈	tj
讨	tk
太	tl
天	tm
托	to
吞	tp
团	tr
同	ts
图	tu
推	tv
铁	tx
听	ty
杀	ua
手	ub
双	ud
社	ue
什	uf
生	ug
上	uh
时	ui
山	uj
少	uk
晒	ul
说	uo
顺	up
拴	ur
书	uu
水	uv
刷	uw
帅	uy
谁	uz
炸	va
周	vb
这	ve
真	vf
正	vg
长	vh
知	vi
展	vj
找	vk
宅	vl
着	vo
准	vp
转	vr
种	vs
主	vu
追	vv
抓	vw
拽	vy
哇	wa
问	wf
翁	wg
望	wh
晚	wj
外	wl
握	wo
无	wu
为	wz
笑	xc
想	xd
西	xi
现	xm
心	xn
寻	xp
修	xq
选	xr
兄	xs
学	xt
许	xu
下	xw
些	xx
呀	ya
又	yb
也	ye
样	yh
一	yi
眼	yj
要	yk
因	yn
哟	yo
运	yp
员	yr
用	ys
月	yt
于	yu
应	yy
杂	za
走	zb
责	ze
怎	zf
增	zg
脏	zh
子	zi
咱	zj
早	zk
再	zl
作	zo
尊	zp
钻	zr
总	zs
组	zu
最	zv
贼	zz
吖	aaa
锕	aai
腌	aak
盎	ahf
肮	ahk
卬	aho
哎	aia
皑	aib
暧	aid
埃	aie
霭	aif
矮	aig
锿	aii
瑷	aim
碍	ain
隘	aio
艾	aiq
癌	ais
挨	aiu
嫒	aiv
叆	aiw
唵	ana
黯	anb
暗	and
埯	ane
案	ang
铵	ani
氨	anj
胺	ank
鞍	anl
桉	ano
俺	anp
庵	ans
岸	ant
按	anu
盦	anx
𩽾	any
嗷	aoa
翱	aob
澳	aoc
岙	aod
坳	aoe
袄	aoh
鏖	aok
璈	aom
凹	aoo
傲	aop
薁	aoq
懊	aor
廒	aos
拗	aou
媪	aov
熬	aow
叭	baa
灞	bac
坝	bae
霸	baf
钯	bai
魃	baj
胈	bak
靶	bal
爸	ban
罢	bao
巴	bap
芭	baq
疤	bas
岜	bat
把	bau
粑	bav
跋	baw
耙	bax
鲅	bay
笆	baz
瀌	bcc
彪	bce
飑	bcf
裱	bch
镖	bci
膘	bck
标	bco
俵	bcp
藨	bcq
幖	bcr
瘭	bcs
飙	bct
摽	bcu
婊	bcv
鳔	bcy
熛	bcz
畚	bfe
锛	bfi
坌	bfn
栟	bfo
倴	bfp
