中	a
不	b
才	c
的	d
吃	e
发	f
个	g
和	h
就	j
看	k
了	l
没	m
你	n
啊	o
拍	p
去	q
人	r
所	s
他	t
是	v
我	w
小	x
有	y
在	z
炸	aa
周	ab
拽	ac
这	ae
真	af
正	ag
长	ah
知	ai
展	aj
找	ak
宅	al
追	am
准	an
着	ao
转	ap
种	as
装	at
主	au
吧	ba
宾	bc
本	bf
崩	bg
帮	bh
比	bi
办	bj
保	bk
白	bl
博	bo
被	bq
部	bu
边	bw
别	bx
并	by
表	bz
擦	ca
凑	cb
策	ce
岑	cf
曾	cg
藏	ch
次	ci
参	cj
草	ck
菜	cl
脆	cm
村	cn
错	co
窜	cp
从	cs
促	cu
大	da
都	db
嗲	dd
得	de
扽	df
等	dg
当	dh
的	di
但	dj
到	dk
带	dl
对	dm
顿	dn
多	do
断	dp
得	dq
丢	dr
动	ds
都	du
点	dw
定	dy
掉	dz
查	ea
抽	eb
揣	ec
车	ee
沉	ef
成	eg
常	eh
持	ei
产	ej
超	ek
拆	el
吹	em
春	en
戳	eo
传	ep
重	es
创	et
出	eu
法	fa
否	fb
分	ff
风	fg
方	fh
反	fj
佛	fo
非	fq
复	fu
尬	ga
够	gb
怪	gc
挂	gd
各	ge
跟	gf
更	gg
刚	gh
感	gj
高	gk
该	gl
规	gm
滚	gn
过	go
关	gp
给	gq
工	gs
光	gt
故	gu
哈	ha
后	hb
坏	hc
话	hd
合	he
很	hf
哼	hg
行	hh
汉	hj
好	hk
还	hl
会	hm
婚	hn
活	ho
欢	hp
黑	hq
红	hs
黄	ht
护	hu
进	jc
家	jd
己	ji
觉	jm
军	jn
卷	jp
久	jr
将	jt
据	ju
见	jw
结	jx
经	jy
叫	jz
卡	ka
口	kb
快	kc
夸	kd
可	ke
肯	kf
坑	kg
康	kh
刊	kj
考	kk
开	kl
亏	km
困	kn
扩	ko
款	kp
剋	kq
空	ks
况	kt
苦	ku
啦	la
楼	lb
林	lc
俩	ld
乐	le
冷	lg
浪	lh
里	li
老	lk
来	ll
略	lm
论	ln
罗	lo
乱	lp
类	lq
流	lr
龙	ls
两	lt
路	lu
律	lv
联	lw
列	lx
领	ly
了	lz
吗	ma
某	mb
民	mc
么	me
们	mf
梦	mg
忙	mh
米	mi
满	mj
毛	mk
买	ml
呣	mm
模	mo
美	mq
谬	mr
目	mu
面	mw
灭	mx
明	my
妙	mz
那	na
耨	nb
您	nc
呢	ne
嫩	nf
能	ng
囊	nh
尼	ni
难	nj
脑	nk
奶	nl
虐	nm
诺	no
暖	np
内	nq
牛	nr
农	ns
娘	nt
努	nu
女	nv
年	nw
捏	nx
宁	ny
鸟	nz
阿	oa
欧	ob
恶	oe
恩	of
昂	oh
安	oj
奥	ok
爱	ol
哦	oo
欸	oq
而	or
怕	pa
剖	pb
品	pc
盆	pf
朋	pg
胖	ph
皮	pi
判	pj
跑	pk
排	pl
破	po
配	pq
普	pu
片	pw
撇	px
平	py
票	pz
亲	qc
恰	qd
起	qi
确	qm
群	qn
全	qp
求	qr
穷	qs
强	qt
区	qu
前	qw
切	qx
情	qy
瞧	qz
肉	rb
热	re
认	rf
仍	rg
让	rh
日	ri
然	rj
扰	rk
瑞	rm
润	rn
若	ro
软	rp
容	rs
如	ru
萨	sa
搜	sb
色	se
森	sf
僧	sg
桑	sh
死	si
三	sj
扫	sk
赛	sl
随	sm
孙	sn
索	so
算	sp
送	ss
诉	su
她	ta
头	tb
特	te
疼	tg
堂	th
体	ti
谈	tj
讨	tk
太	tl
推	tm
吞	tn
托	to
团	tp
同	ts
图	tu
天	tw
铁	tx
听	ty
条	tz
杀	va
手	vb
帅	vc
刷	vd
社	ve
什	vf
生	vg
上	vh
时	vi
山	vj
少	vk
晒	vl
水	vm
顺	vn
说	vo
拴	vp
谁	vq
双	vt
书	vu
哇	wa
问	wf
翁	wg
望	wh
晚	wj
外	wl
握	wo
为	wq
无	wu
心	xc
下	xd
西	xi
学	xm
寻	xn
选	xp
修	xr
兄	xs
想	xt
许	xu
现	xw
些	xx
笑	xz
呀	ya
又	yb
因	yc
也	ye
样	yh
一	yi
眼	yj
要	yk
月	ym
运	yn
哟	yo
员	yp
用	ys
于	yu
应	yy
杂	za
走	zb
责	ze
怎	zf
增	zg
脏	zh
子	zi
咱	zj
早	zk
再	zl
最	zm
尊	zn
作	zo
钻	zp
贼	zq
总	zs
组	zu
渣	aaa
诈	aad
乍	aae
奓	aag
喳	aah
鲝	aai
砟	aaj
铡	aak
扎	aal
榨	aao
眨	aaq
劄	aar
痄	aas
闸	aaw
蚱	aay
州	aba
骤	abc
诌	abd
舟	abe
㑇	abf
咒	abh
宙	abi
绉	abj
粥	abo
胄	abp
籀	abr
皱	abs
肘	abv
荮	abx
妯	abz
抓	adl
爪	adm
髽	adn
浙	aea
谪	aed
辙	aee
啫	aeh
着	aei
磔	aej
锗	aek
折	ael
柘	aeo
者	aep
遮	aes
喆	aet
褶	aeu
蔗	aex
贞	afa
诊	afd
甄	afe
侦	aff
珍	afg
鸩	afi
缜	afj
镇	afk
振	afl
斟	afm
鬒	afn
枕	afo
阵	afp
昣	afq
箴	afr
疹	afs
圳	aft
祯	afu
朕	afv
稹	afw
蓁	afx
震	afy
赈	afz
郑	aga
怔	agc
证	agd
狰	age
征	agf
铮	agk
挣	agl
政	agn
烝	ago
整	agp
睁	agq
筝	agr
争	ags
蒸	agx
峥	agy
涨	aha
章	ahd
獐	ahe
仗	ahf
璋	ahg
掌	ahi
丈	ahn
张	aho
障	ahp
暲	ahq
瘴	ahs
胀	ahv
